timestamp,instance,run,fitness,feasible,n_cols,iters,evals,time_s,problem,transfer,rule,infeasible,varmin,varmax,pop,chaos,maxfes,stagnation,seed
2026-09-02T11:10:52,a1,20,257.0,1,71,301,6010,15.918,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2044
2026-09-02T11:11:06,a1,21,257.0,1,70,301,6010,14.622,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2045
2026-09-02T11:11:21,a1,22,257.0,1,73,301,6010,14.743,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2046
2026-09-02T11:11:35,a1,23,257.0,1,72,301,6010,14.382,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2047
2026-09-02T11:11:51,a1,24,257.0,1,73,301,6010,15.49,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2048
2026-09-02T11:12:06,a1,25,257.0,1,73,301,6010,14.672,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2049
2026-09-02T11:12:21,a1,26,256.0,1,71,301,6010,15.378,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2050
2026-09-02T11:12:35,a1,27,257.0,1,72,301,6010,14.06,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2051
2026-09-02T11:12:50,a1,28,257.0,1,73,301,6010,14.674,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2052
2026-09-02T11:13:03,a1,29,257.0,1,72,301,6010,13.845,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2053
2026-09-02T11:13:17,a1,30,257.0,1,72,301,6010,13.046,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2054
2026-09-02T11:13:29,a1,31,257.0,1,74,301,6010,12.538,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2055
2026-09-02T11:13:45,a2,1,256.0,1,74,301,6010,14.889,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T11:13:59,a2,2,254.0,1,73,301,6010,13.857,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T11:14:14,a2,3,257.0,1,71,301,6010,14.59,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T11:14:29,a2,4,258.0,1,75,301,6010,15.213,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T11:14:44,a2,5,258.0,1,75,301,6010,15.22,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
2026-09-02T11:14:58,a2,6,261.0,1,76,301,6010,13.907,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2030
2026-09-02T11:15:11,a2,7,258.0,1,75,301,6010,13.298,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2031
